name,lat,lng, imp
Parking – Dubbel Trubbel,56.26417,14.53905,
Olofström – Dubbel Trubbel,56.2652423,14.5430551,
Parking – Myth,56.24355,14.4962399999999,
Jämshög – Myth,56.24426,14.4967799999999,
Parking – Henriks block,56.24667,14.5372199999999,
Jämshög – Henriks block,56.2456,14.5364099999999,
Parking – Pukavikblocket,56.22466,14.56095,
Jämshög – Pukavikblocket,56.22318,14.56224,
Parking – Balansakt,56.22105,14.53805,
Jämshög – Balansakt,56.220333,14.5374440000001,
Parking 1 – Ljusaryd,56.2680587,14.6777896,
Parking 2 – Ljusaryd,56.27104,14.67809,
Ljusaryd – Bladerunner,56.27104,14.67795,
Parking – Hobo,56.18879,14.03138,
Wanås – Hobo,56.188557,14.03216,
Parking – Konstparken,56.18817,14.04542,
Wanås – Konstparken,56.18476,14.04338,
